filename,before_encoding_file_size,after_encoding_file_size,encoding_date,status,processing_time_seconds,cloudinary_public_id
imamoglu-seferberlik-baslatiyoruz-mlni.mp4,34899323,10817245,2025-06-11T11:45:09.341191,success,41.13,video_optimizer/1749638668_imamoglu-seferberlik-baslatiyoruz-mlni
erdal-bakkalda-depremzedelerin-yardimina-kostu-ilk-olarak-oraya-mudahale-ettik-H3j9.mp4,58241702,15892810,2025-06-11T11:45:40.735538,success,70.18,video_optimizer/1749638670_erdal-bakkalda-depremzedelerin-yardimina-kostu-ilk-olarak-oraya-mudahale-ettik-H3j9
binalari-yikan-yapi-tipi-asmolen-AWjF.mp4,51807001,12936415,2025-06-11T11:45:49.382554,success,53.34,video_optimizer/1749638696_binalari-yikan-yapi-tipi-asmolen-AWjF
mbaye-diagne-otostop-ceken-ogrencileri-arabasina-alinca-ortaya-bu-goruntuler-cikti-FJz8.mp4,12315461,1172517,2025-06-11T11:45:51.609886,success,10.44,video_optimizer/1749638741_mbaye-diagne-otostop-ceken-ogrencileri-arabasina-alinca-ortaya-bu-goruntuler-cikti-FJz8
4-yillik-binanin-kolonundan-cikanlar-vicdansizligi-gozler-onune-serdi-QWyn.mp4,50499181,12530874,2025-06-11T11:46:09.066892,success,58.86,video_optimizer/1749638710_4-yillik-binanin-kolonundan-cikanlar-vicdansizligi-gozler-onune-serdi-QWyn
tezgahlari-boyle-atese-verdi-kundaklama-ani-guvenlik-kamerasinda-1Ty0.mp4,33946260,8088502,2025-06-11T11:46:32.313177,success,42.37,video_optimizer/1749638749_tezgahlari-boyle-atese-verdi-kundaklama-ani-guvenlik-kamerasinda-1Ty0
son-dakika-yunanistan-selanikte-iki-tren-carpisti-onlarca-olu-cok-sayida-yarali-var-N5mE.mp4,24126995,4784728,2025-06-11T11:46:35.433292,success,33.08,video_optimizer/1749638762_son-dakika-yunanistan-selanikte-iki-tren-carpisti-onlarca-olu-cok-sayida-yarali-var-N5mE
herkes-gitti-bir-tek-o-kaldi-enkaza-donen-mahallesini-asla-terk-etmiyor-Wk1m.mp4,41608131,10069100,2025-06-11T11:46:51.936956,success,42.35,video_optimizer/1749638769_herkes-gitti-bir-tek-o-kaldi-enkaza-donen-mahallesini-asla-terk-etmiyor-Wk1m
heimlich-manevrasi-ile-yasli-adamin-hayatini-boyle-kurtardi-qojr.mp4,20877589,3598041,2025-06-11T11:47:02.751862,success,29.93,video_optimizer/1749638792_heimlich-manevrasi-ile-yasli-adamin-hayatini-boyle-kurtardi-qojr
unlu-sef-mehmet-yalcinkaya-msbnin-depremzedeler-icin-kurdugu-sahra-mutfaginda-AKBA.mp4,167227806,0,2025-06-11T11:47:05.960934,failed: Error parsing server response (413) - b'<html>\r\n<head><title>413 Request Entity Too Large</title></head>\r\n<body>\r\n<center><h1>413 Request Entity Too Large</h1></center>\r\n<hr><center>nginx</center>\r\n</body>\r\n</html>\r\n'. Got - Expecting value: line 1 column 1 (char 0),29.5,video_optimizer/1749638796_unlu-sef-mehmet-yalcinkaya-msbnin-depremzedeler-icin-kurdugu-sahra-mutfaginda-AKBA
